ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A46R_scaffold193|length_1023	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	157	0	0	0	0	0	1096	0	1	0	2607	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A46R_scaffold11|length_2550	3	4	0	1	1	0	0	5	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	3	140	3	0	0	3514	19	0	0	2	3	1	1	0	6	2	0	0	0	2	1	0	22	0	0	2
A45R_scaffold296|length_557	2	0	4	0	3	0	0	1	0	2	399	3	2	0	0	0	24	0	1	0	1	113	0	0	4	5	0	237	247	1	0	313	2	387	29	3	18	7	1355	0	23	6	0	0	0	0	0	1	0	0	375	11	1	6	7	10	4	2	126	0
A40R_scaffold175|length_1603	0	0	7	0	0	0	41	6	0	0	0	0	0	0	15	2	7	17	0	452	7	0	3	0	141	2	0	1	122	275	320	0	61	132	157	12	4	5	1	62	199	257	142	21	48	7	1	776	3	47	131	8	0	187	3	1	2	32	2	0
A36R_scaffold652|length_750	1	25	2	0	0	0	21	1	14	6	0	2	1	1	11	8	6	4	8	468	16	0	6	1	402	0	4	7	131	150	394	0	5	48	206	9	6	2	0	27	222	318	143	71	51	6	0	306	6	27	74	2	0	337	1	3	6	7	0	0
A46R_scaffold72|length_1424	0	0	0	8	0	0	33	0	0	0	0	0	0	374	0	2	4	31	0	370	3	0	3	1	30	1	0	0	117	800	667	0	0	52	44	5	1	0	0	32	411	4	69	0	86	0	3	39	0	5	239	6	0	65	0	10	0	1	0	0
A37R_scaffold753|length_931	0	0	0	0	0	0	2	2	6	0	0	1	2	1	39	0	5	6	0	547	6	0	1	2	132	2	1	0	81	190	448	0	0	39	94	1	0	1	0	39	118	110	98	0	50	7	1	826	4	16	122	2	0	506	0	0	0	0	0	0
A53R_scaffold184|length_958	106	162	83	19	162	62	27	293	63	109	1	83	47	21	40	118	53	5	56	1	31	4	97	17	45	12	26	0	0	0	2	0	407	0	54	7	69	29	0	0	27	38	10	12	25	130	70	40	244	242	0	10	0	52	22	71	44	100	12	18
A12R_scaffold1|length_4436	0	0	3430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8R_scaffold1369|length_556	137	35	49	10	139	27	34	111	85	389	8	626	17	42	35	89	71	1	40	1	47	10	86	13	14	15	38	2	2	0	0	0	187	0	92	4	85	73	1	0	15	28	11	21	21	57	120	7	65	116	1	7	0	31	10	60	28	66	23	28
A38R_scaffold527|length_1064	0	0	2	1	0	0	8	0	3	0	0	1	0	4	10	0	1	4	2	248	5	0	1	0	321	0	0	5	69	83	278	0	11	35	272	0	0	0	0	24	68	237	113	11	30	1	0	330	0	41	23	0	0	1065	0	1	0	3	1	0
A1R_scaffold50|length_1828	0	2	1	1	0	0	0	3	0	0	83	0	0	0	0	0	0	0	0	0	0	2332	0	0	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	63	0	25	5	61	2
A39R_scaffold346|length_594	2	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	1	0	0	0	0	25	0	0	0	264	1	1215	746	8	0	758	2	17	52	3	9	4	34	0	4	5	0	1	0	0	0	1	0	0	5	3	0	1	1	0	0	0	8	0
A45R_scaffold42|length_1199	0	3	0	0	0	0	2	3	0	0	558	1	1	0	0	0	7	0	0	0	0	599	0	0	0	103	0	149	95	9	0	217	118	264	17	0	9	1	353	0	5	1	0	14	0	1	0	1	0	0	147	4	1	1	42	1	16	3	366	0
A26R_scaffold8|length_3622	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3059	10	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A58R_scaffold646|length_558	2	7	2	0	0	0	3	1	0	19	0	5	0	0	0	1	2	0	12	0	0	0	0	3	4	8	5	0	0	23	2	0	3	0	2	0	2	3	0	0	0	4	1	6	5	3	1	0	2	1	0	1	2703	31	1	44	66	1	0	5
A36R_scaffold569|length_800	27	419	13	2	37	4	5	41	19	107	104	21	11	2	15	16	10	1	51	0	9	164	31	4	9	137	1	274	188	3	1	264	37	71	42	1	18	6	202	1	5	13	1	47	14	46	24	0	72	57	84	7	0	33	10	12	59	31	89	2
