name	Isloated	Phylum
OF01_1AC	gut	Firmicutes
AM25_33	gut	Actinobacteria
AM30_5LB	gut	Actinobacteria
TF08_14	gut	Actinobacteria
OM02_34	gut	Firmicutes
OM02_5	gut	Firmicutes
AF09_1A	gut	Firmicutes
AF02_13	gut	Firmicutes
AF13_15	gut	Firmicutes
AF13_25	gut	Firmicutes
AF13_4LB	gut	Firmicutes
AF15_30	gut	Firmicutes
AF16_47	gut	Firmicutes
AF17_11AC	gut	Firmicutes
AF17_17AC	gut	Firmicutes
AF19_3	gut	Firmicutes
AF24_1LB	gut	Firmicutes
AF27_24BH	gut	Firmicutes
AF29_3BH	gut	Firmicutes
AF31_1BH	gut	Firmicutes
AF35_8	gut	Firmicutes
AF36_10BH	gut	Firmicutes
AF37_2	gut	Firmicutes
AM09_26	gut	Firmicutes
AM17_34	gut	Firmicutes
AM23_2	gut	Firmicutes
AM23_9LB	gut	Firmicutes
AM26_5AC	gut	Firmicutes
AM28_15LB	gut	Firmicutes
AM29_13	gut	Firmicutes
AM32_11LB	gut	Firmicutes
AM37_9BH	gut	Firmicutes
OF02_11LB	gut	Firmicutes
OF03_2AA	gut	Firmicutes
OM08_19	gut	Firmicutes
TF10_10	gut	Firmicutes
TM10_10	gut	Firmicutes
OF01_6	gut	Firmicutes
AF45_17	gut	Firmicutes
AM28_39	gut	Firmicutes
AF16_31	gut	Firmicutes
AF18_12LB	gut	Firmicutes
AM22_12LB	gut	Firmicutes
AM23_3	gut	Firmicutes
TM07_19	gut	Firmicutes
AF22_21	gut	Firmicutes
AF19_8AC	gut	Firmicutes
AF38_1	gut	Firmicutes
AM14_16	gut	Firmicutes
AF16_22	gut	Firmicutes
AF16_5	gut	Firmicutes
OM06_25	gut	Firmicutes
OM06_34AC	gut	Firmicutes
TF11_13	gut	Firmicutes
OM04_5BH	gut	Firmicutes
AM25_15LB	gut	Firmicutes
AM25_4LB	gut	Firmicutes
AF18_48	gut	Firmicutes
AF27_8	gut	Firmicutes
AM27_12LB	gut	Firmicutes
AF31_27BH	gut	Firmicutes
AF12_11	gut	Firmicutes
AF19_13	gut	Firmicutes
AF19_4AC	gut	Firmicutes
AF21_25	gut	Firmicutes
AF25_11	gut	Firmicutes
AF31_13BH	gut	Firmicutes
AF36_1BH	gut	Firmicutes
AF42_21	gut	Firmicutes
AM23_7AC	gut	Firmicutes
AM29_11	gut	Firmicutes
AM35_12	gut	Firmicutes
AM37_11	gut	Firmicutes
AM37_5	gut	Firmicutes
AM40_15AC	gut	Firmicutes
AM42_8	gut	Firmicutes
AM46_16	gut	Firmicutes
OM02_12	gut	Firmicutes
OM03_2	gut	Firmicutes
TF09_3	gut	Firmicutes
TF11_11	gut	Firmicutes
TF12_1	gut	Firmicutes
TM05_5	gut	Firmicutes
TM09_16AC	gut	Firmicutes
TM09_19AC	gut	Firmicutes
AF17_8AC	gut	Firmicutes
AM22_22	gut	Firmicutes
AM23_13	gut	Firmicutes
OM02_16	gut	Firmicutes
AF24_7LB	gut	Firmicutes
AM10_31	gut	Firmicutes
AM13_35	gut	Firmicutes
OM07_5	gut	Firmicutes
TF05_26B_4	gut	Actinobacteria
AM16_28	gut	Proteobacteria
AM17_61	gut	Proteobacteria
AM17_18	gut	Proteobacteria
AF13_3_H	gut	Firmicutes
OF02_3AC	gut	Firmicutes
AF48_16	gut	Firmicutes
AM17_31	gut	Firmicutes
AF11_32_H	gut	Firmicutes
OM08_2AT	gut	Firmicutes
OF05_6AC	gut	Firmicutes
AF19_21AC	gut	Firmicutes
AF20_7LB	gut	Firmicutes
AF28_13	gut	Firmicutes
AF28_24B	gut	Firmicutes
AM21_17	gut	Firmicutes
AM25_30	gut	Firmicutes
AM38_1	gut	Firmicutes
OF04_4AC	gut	Firmicutes
OM06_4	gut	Firmicutes
AF15_26LB	gut	Firmicutes
AF19_24AC	gut	Firmicutes
AM07_12	gut	Firmicutes
AM07_35_1	gut	Firmicutes
AF13_13_H	gut	Proteobacteria
AF14_15AC	gut	Proteobacteria
AF14_7LB	gut	Proteobacteria
AF17_4	gut	Proteobacteria
AF17_8LB	gut	Proteobacteria
AF18_23LB	gut	Proteobacteria
AF31_11BH	gut	Proteobacteria
AM12_30	gut	Proteobacteria
AM20_38	gut	Proteobacteria
AM22_14AC	gut	Proteobacteria
AM22_15AC	gut	Proteobacteria
AM23_14AC	gut	Proteobacteria
AM23_18AC	gut	Proteobacteria
AM28_16AC	gut	Proteobacteria
AM34_8	gut	Proteobacteria
OM01_11	gut	Proteobacteria
OM02_11AC	gut	Proteobacteria
OM02_12AC	gut	Proteobacteria
OM02_28	gut	Proteobacteria
AF10_31	gut	Firmicutes
AF15_20	gut	Firmicutes
AF15_5	gut	Firmicutes
AF22_10AC	gut	Firmicutes
AM42_13AC	gut	Firmicutes
AF35_6BH	gut	Firmicutes
AF06_14	gut	Firmicutes
AF18_47	gut	Firmicutes
AF35_21	gut	Firmicutes
AF36_7BH	gut	Firmicutes
